Title,Category,Price,Availability,Rating,Product URL
It's Only the Himalayas,Travel,45.17,In stock,2,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html
In Her Wake,Thriller,12.84,In stock,1,https://books.toscrape.com/catalogue/in-her-wake_980/index.html
How Music Works,Music,37.32,In stock,2,https://books.toscrape.com/catalogue/how-music-works_979/index.html
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Food and Drink,30.52,In stock,3,https://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html
Chase Me (Paris Nights #2),Romance,25.27,In stock,5,https://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html
Black Dust,Romance,34.53,In stock,5,https://books.toscrape.com/catalogue/black-dust_976/index.html
Birdsong: A Story in Pictures,Childrens,54.64,In stock,3,https://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Default,22.5,In stock,3,https://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html
Aladdin and His Wonderful Lamp,Default,53.13,In stock,3,https://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,Nonfiction,40.3,In stock,5,https://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html
Wall and Piece,Art,44.18,In stock,4,https://books.toscrape.com/catalogue/wall-and-piece_971/index.html
The Four Agreements: A Practical Guide to Personal Freedom,Spirituality,17.66,In stock,5,https://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Nonfiction,31.05,In stock,3,https://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html
The Elephant Tree,Thriller,23.82,In stock,5,https://books.toscrape.com/catalogue/the-elephant-tree_968/index.html
The Bear and the Piano,Childrens,36.89,In stock,1,https://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html
Sophie's World,Philosophy,15.94,In stock,5,https://books.toscrape.com/catalogue/sophies-world_966/index.html
Penny Maybe,Default,33.29,In stock,3,https://books.toscrape.com/catalogue/penny-maybe_965/index.html
Maude (1883-1993):She Grew Up with the country,Default,18.02,In stock,2,https://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html
"In a Dark, Dark Wood",Mystery,19.63,In stock,1,https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html
Behind Closed Doors,Thriller,52.22,In stock,4,https://books.toscrape.com/catalogue/behind-closed-doors_962/index.html
You can't bury them all: Poems,Poetry,33.63,In stock,2,https://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html
Slow States of Collapse: Poems,Poetry,57.31,In stock,3,https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html
Reasons to Stay Alive,Nonfiction,26.41,In stock,2,https://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html
Private Paris (Private #10),Fiction,47.61,In stock,5,https://books.toscrape.com/catalogue/private-paris-private-10_958/index.html
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Nonfiction,23.11,In stock,5,https://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html
Without Borders (Wanderlove #1),New Adult,45.07,In stock,2,https://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/index.html
When We Collided,Contemporary,31.77,In stock,1,https://books.toscrape.com/catalogue/when-we-collided_955/index.html
"We Love You, Charlie Freeman",Fiction,50.27,In stock,5,https://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html
Untitled Collection: Sabbath Poems 2014,Poetry,14.27,In stock,4,https://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Nonfiction,44.18,In stock,4,https://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html
Unicorn Tracks,Fantasy,18.78,In stock,3,https://books.toscrape.com/catalogue/unicorn-tracks_951/index.html
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",History,25.52,In stock,1,https://books.toscrape.com/catalogue/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Sequential Art,16.28,In stock,1,https://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Nonfiction,31.12,In stock,3,https://books.toscrape.com/catalogue/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html
This One Summer,Sequential Art,19.49,In stock,4,https://books.toscrape.com/catalogue/this-one-summer_947/index.html
Thirst,Fiction,17.27,In stock,5,https://books.toscrape.com/catalogue/thirst_946/index.html
The Torch Is Passed: A Harding Family Story,Add a comment,19.09,In stock,1,https://books.toscrape.com/catalogue/the-torch-is-passed-a-harding-family-story_945/index.html
The Secret of Dreadwillow Carse,Childrens,56.13,In stock,1,https://books.toscrape.com/catalogue/the-secret-of-dreadwillow-carse_944/index.html
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",Food and Drink,56.41,In stock,1,https://books.toscrape.com/catalogue/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html
The Past Never Ends,Mystery,56.5,In stock,4,https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html
The Natural History of Us (The Fine Art of Pretending #2),Young Adult,45.22,In stock,3,https://books.toscrape.com/catalogue/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html
The Nameless City (The Nameless City #1),Sequential Art,38.16,In stock,4,https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html
The Murder That Never Was (Forensic Instincts #5),Fiction,54.11,In stock,3,https://books.toscrape.com/catalogue/the-murder-that-never-was-forensic-instincts-5_939/index.html
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,Science,42.96,In stock,4,https://books.toscrape.com/catalogue/the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",Add a comment,23.89,In stock,4,https://books.toscrape.com/catalogue/the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Nonfiction,16.77,In stock,3,https://books.toscrape.com/catalogue/the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",Default,20.59,In stock,5,https://books.toscrape.com/catalogue/the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/index.html
The Gutsy Girl: Escapades for Your Life of Epic Adventure,Nonfiction,37.13,In stock,1,https://books.toscrape.com/catalogue/the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html
The Electric Pencil: Drawings from Inside State Hospital No. 3,Nonfiction,56.06,In stock,1,https://books.toscrape.com/catalogue/the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html
The Death of Humanity: and the Case for Life,Philosophy,58.11,In stock,4,https://books.toscrape.com/catalogue/the-death-of-humanity-and-the-case-for-life_932/index.html
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",Health,49.05,In stock,3,https://books.toscrape.com/catalogue/the-bulletproof-diet-lose-up-to-a-pound-a-day-reclaim-energy-and-focus-upgrade-your-life_931/index.html
The Art Forger,Add a comment,40.76,In stock,3,https://books.toscrape.com/catalogue/the-art-forger_930/index.html
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,History,19.73,In stock,1,https://books.toscrape.com/catalogue/the-age-of-genius-the-seventeenth-century-and-the-birth-of-the-modern-mind_929/index.html
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,Spirituality,32.24,In stock,5,https://books.toscrape.com/catalogue/the-activists-tao-te-ching-ancient-advice-for-a-modern-revolution_928/index.html
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Nonfiction,41.83,In stock,4,https://books.toscrape.com/catalogue/spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/index.html
Soul Reader,Default,39.58,In stock,2,https://books.toscrape.com/catalogue/soul-reader_926/index.html
Security,Horror,39.25,In stock,2,https://books.toscrape.com/catalogue/security_925/index.html
"Saga, Volume 6 (Saga (Collected Editions) #6)",Fantasy,25.02,In stock,3,https://books.toscrape.com/catalogue/saga-volume-6-saga-collected-editions-6_924/index.html
"Saga, Volume 5 (Saga (Collected Editions) #5)",Sequential Art,51.04,In stock,2,https://books.toscrape.com/catalogue/saga-volume-5-saga-collected-editions-5_923/index.html
Reskilling America: Learning to Labor in the Twenty-First Century,Nonfiction,19.83,In stock,2,https://books.toscrape.com/catalogue/reskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Sequential Art,50.4,In stock,3,https://books.toscrape.com/catalogue/rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html
